Year,Mean_CO2,Uncertainty,Average_Temperature_x,Average_Temperature_y
1970,325.68,0.12,0.0258333333333333,-0.1775
1970,325.68,0.12,0.0258333333333333,-0.09000000000000001
1970,325.68,0.12,0.0258333333333333,-0.10999999999999999
1970,325.68,0.12,0.0258333333333333,-0.1758333333333333
1970,325.68,0.12,0.0258333333333333,-0.28583333333333333
1970,325.68,0.12,0.0258333333333333,-0.335
1970,325.68,0.12,0.0258333333333333,-0.31583333333333335
1970,325.68,0.12,0.0258333333333333,-0.3666666666666667
1970,325.68,0.12,0.0258333333333333,-0.17583333333333337
1970,325.68,0.12,0.0258333333333333,-0.10833333333333334
1970,325.68,0.12,0.0258333333333333,-0.3558333333333333
1970,325.68,0.12,0.0258333333333333,-0.23
1970,325.68,0.12,0.0258333333333333,-0.2775
1970,325.68,0.12,0.0258333333333333,-0.3183333333333333
1970,325.68,0.12,0.0258333333333333,-0.3083333333333334
1970,325.68,0.12,0.0258333333333333,-0.23416666666666663
1970,325.68,0.12,0.0258333333333333,-0.11916666666666668
1970,325.68,0.12,0.0258333333333333,-0.11499999999999999
1970,325.68,0.12,0.0258333333333333,-0.2816666666666667
1970,325.68,0.12,0.0258333333333333,-0.1825
1970,325.68,0.12,0.0258333333333333,-0.08583333333333333
1970,325.68,0.12,0.0258333333333333,-0.15916666666666665
1970,325.68,0.12,0.0258333333333333,-0.2833333333333334
1970,325.68,0.12,0.0258333333333333,-0.3758333333333333
1970,325.68,0.12,0.0258333333333333,-0.47750000000000004
1970,325.68,0.12,0.0258333333333333,-0.2708333333333333
1970,325.68,0.12,0.0258333333333333,-0.22583333333333333
1970,325.68,0.12,0.0258333333333333,-0.3891666666666666
1970,325.68,0.12,0.0258333333333333,-0.4291666666666667
1970,325.68,0.12,0.0258333333333333,-0.4875
1970,325.68,0.12,0.0258333333333333,-0.43999999999999995
1970,325.68,0.12,0.0258333333333333,-0.4466666666666666
1970,325.68,0.12,0.0258333333333333,-0.36250000000000004
1970,325.68,0.12,0.0258333333333333,-0.3491666666666667
1970,325.68,0.12,0.0258333333333333,-0.15583333333333332
1970,325.68,0.12,0.0258333333333333,-0.14333333333333334
1970,325.68,0.12,0.0258333333333333,-0.3625
1970,325.68,0.12,0.0258333333333333,-0.4608333333333334
1970,325.68,0.12,0.0258333333333333,-0.2991666666666667
1970,325.68,0.12,0.0258333333333333,-0.27666666666666667
1970,325.68,0.12,0.0258333333333333,-0.2733333333333334
1970,325.68,0.12,0.0258333333333333,-0.1925
1970,325.68,0.12,0.0258333333333333,-0.2841666666666667
1970,325.68,0.12,0.0258333333333333,-0.26666666666666666
1970,325.68,0.12,0.0258333333333333,-0.26833333333333337
1970,325.68,0.12,0.0258333333333333,-0.22083333333333335
1970,325.68,0.12,0.0258333333333333,-0.105
1970,325.68,0.12,0.0258333333333333,-0.2133333333333333
1970,325.68,0.12,0.0258333333333333,-0.1991666666666667
1970,325.68,0.12,0.0258333333333333,-0.3558333333333333
1970,325.68,0.12,0.0258333333333333,-0.15083333333333335
1970,325.68,0.12,0.0258333333333333,-0.08666666666666668
